x,y,u,v,p,T
0.0,0.0,0.0,0.0,0.7092612681710098,1.0
0.125,0.0,0.0,0.0,0.7092612681710098,1.0
0.25,0.0,0.0,0.0,0.566641862138771,1.0
0.375,0.0,0.0,0.0,0.5602800503493,1.0
0.5,0.0,0.0,0.0,0.5330142496901821,1.0
0.625,0.0,0.0,0.0,0.5290435971898276,1.0
0.75,0.0,0.0,0.0,0.5180851531002701,1.0
0.875,0.0,0.0,0.0,0.5125086505996861,1.0
1.0,0.0,0.0,0.0,0.5049222917318683,1.0
1.125,0.0,0.0,0.0,0.4989336841502871,1.0
1.25,0.0,0.0,0.0,0.4924970672519069,1.0
1.375,0.0,0.0,0.0,0.48667224764868877,1.0
1.5,0.0,0.0,0.0,0.4808491823033936,1.0
1.625,0.0,0.0,0.0,0.4753367734113772,1.0
1.75,0.0,0.0,0.0,0.46994026240190895,1.0
1.875,0.0,0.0,0.0,0.46474484171777275,1.0
2.0,0.0,0.0,0.0,0.45968183348603664,1.0
2.125,0.0,0.0,0.0,0.4547699930242531,1.0
2.25,0.0,0.0,0.0,0.44998095890004275,1.0
2.375,0.0,0.0,0.0,0.4453145135005683,1.0
2.5,0.0,0.0,0.0,0.44075624987224316,1.0
2.625,0.0,0.0,0.0,0.4363012586290531,1.0
2.75,0.0,0.0,0.0,0.43194061860250493,1.0
2.875,0.0,0.0,0.0,0.4276688867158986,1.0
3.0,0.0,0.0,0.0,0.4234797139200617,1.0
3.125,0.0,0.0,0.0,0.41936820679621495,1.0
3.25,0.0,0.0,0.0,0.4153294700488606,1.0
3.375,0.0,0.0,0.0,0.41135933712989964,1.0
3.5,0.0,0.0,0.0,0.40745386568204056,1.0
3.625,0.0,0.0,0.0,0.40360955035510054,1.0
3.75,0.0,0.0,0.0,0.399823135221101,1.0
3.875,0.0,0.0,0.0,0.3960916645883693,1.0
4.0,0.0,0.0,0.0,0.3924124045404012,1.0
4.125,0.0,0.0,0.0,0.3887828453379056,1.0
4.25,0.0,0.0,0.0,0.3852006628272612,1.0
4.375,0.0,0.0,0.0,0.3816637082558874,1.0
4.5,0.0,0.0,0.0,0.3781699857608235,1.0
4.625,0.0,0.0,0.0,0.37471764048019923,1.0
4.75,0.0,0.0,0.0,0.3713049435171516,1.0
4.875,0.0,0.0,0.0,0.3679302813144754,1.0
5.0,0.0,0.0,0.0,0.36459214470316925,1.0
5.125,0.0,0.0,0.0,0.3612891200749364,1.0
5.25,0.0,0.0,0.0,0.35801988099936755,1.0
5.375,0.0,0.0,0.0,0.3547831810452815,1.0
5.5,0.0,0.0,0.0,0.3515778471776818,1.0
5.625,0.0,0.0,0.0,0.3484027739371465,1.0
5.75,0.0,0.0,0.0,0.3452569181436124,1.0
5.875,0.0,0.0,0.0,0.3421392941568732,1.0
6.0,0.0,0.0,0.0,0.3390489695724978,1.0
6.125,0.0,0.0,0.0,0.3359850613354641,1.0
6.25,0.0,0.0,0.0,0.3329467322048441,1.0
6.375,0.0,0.0,0.0,0.3299331875416181,1.0
6.5,0.0,0.0,0.0,0.32694367237759686,1.0
6.625,0.0,0.0,0.0,0.32397746873913325,1.0
6.75,0.0,0.0,0.0,0.3210338931964787,1.0
6.875,0.0,0.0,0.0,0.31811229461684754,1.0
7.0,0.0,0.0,0.0,0.3152120520997967,1.0
7.125,0.0,0.0,0.0,0.31233257307735574,1.0
7.25,0.0,0.0,0.0,0.3094732915626702,1.0
7.375,0.0,0.0,0.0,0.30663366653327656,1.0
7.5,0.0,0.0,0.0,0.30381318043643046,1.0
